"Office","State","District","City","Party","Spent","Received","Debt","Contribution","Win"
"S","FL",0,"TAMPA","DEM",875382,874534,875243,140,"No"
"H","WI",6,"MARIBEL","DEM",39245,39244,26569,9245,"No"
"H","IA",3,"DES MOINES","DEM",78803.88,78253.99,6819.94,78667.08,"No"
"H","AZ",9,"PHOENIX","REP",108766,96727.51,10000,108196,"No"
"H","RI",2,"WARWICK","DEM",13318.06,12657.49,12868.06,450,"No"
"H","NH",1,"BEDFORD","REP",318115.22,318973.17,64142.61,317075.22,"No"
"H","OK",1,"TULSA","REP",782595.77,776343.73,250000,332595.77,"No"
"H","CA",31,"RIALTO","REP",29848,28617.74,13515.79,29848,"No"
"H","CA",10,"MANTECA","DEM",45921.6,13335.58,32405.37,84.83,"No"
"H","NC",13,"CLEMMONS","REP",241402.41,241402.41,218970.12,22432.29,"No"
"S","CO",0,"COLORADO SPRINGS","REP",1275927,1205497,1014230,275927,"No"
"H","NC",2,"RALEIGH","REP",116145.99,115819.47,40826.59,103065.96,"No"
"H","NC",13,"MOCKSVILLE","REP",131925,116949,1e+05,31925,"No"
"H","CT",2,"WESTBOOK","REP",12125,11837.47,7000,4125,"No"
"H","GA",9,"GAINESVILLE","REP",151927.86,148797.02,85000.32,107265.73,"No"
"H","MO",8,"CAPE GIRARDEAU","REP",56610.58,54804.86,33000,22984.58,"No"
"H","TX",32,"MCLEAN","REP",103545.5,103096.61,2000,101545.5,"No"
"H","MO",5,"KANSAS CITY","REP",1700.02,1829.94,1000,1700,"No"
"H","TX",10,"CYPRESS","DEM",3530.63,2967.5,31243.37,3425.72,"No"
"H","FL",23,"HOLLYWOOD","DEM",3886244.08,3792812.23,20060.8,3852984.08,"No"
"H","TX",30,"DALLAS","DEM",43537.23,43646.23,21320,39835,"No"
"S","OR",0,"BEND","REP",54449,54395,180072,15449,"No"
"H","NY",18,"TUXEDO","REP",23635,20789.43,29793.41,11135,"No"
"H","NJ",5,"DEMAREST","REP",13797,13543,17569,1866,"No"
"S","OH",0,"CANTON","IND",41987,35616,40000,1987,"No"
"H","FL",6,"ORMOND BEACH","REP",305018.94,305007.84,118500,185778.42,"No"
"H","NC",12,"MATTHEWS","DEM",121189.52,119728.9,49953,76835.97,"No"
"S","GA",0,"ALPHARETTA","DEM",5899,9186.5,4068,544,"No"
"H","TX",6,"ARLINGTON","DEM",3245.23,3608.25,3650,2310.01,"No"
"H","NC",8,"RAEFORD","REP",239410.86,238008.32,625277.19,9882,"No"
"H","TX",27,"CORPUS CHRISTI","REP",195328.22,194988.76,75197.72,139328.22,"No"
"H","NY",18,"WARWICK","REP",64455,64461.68,46750,17705,"No"
"H","MD",5,"DAVIDSONVILLE","REP",271800.21,268340.43,63552.08,248200.21,"No"
"H","LA",1,"NEW ORLEANS","DEM",7709,5066.05,7699,10,"No"
"S","IA",0,"CLARENCE","DEM",50458,22429,30680,50458,"No"
"H","NH",2,"BROOKLIONE","REP",60575.5,60575.5,20000,40575.5,"No"
"H","CA",31,"UPLAND","REP",1000221.25,963470.79,250131.22,460041.76,"No"
"H","FL",18,"BOCA RATON","REP",1907398.19,1905970.23,1630975.97,286467.1,"No"
"H","VA",11,"FAIRFAX","GRE",847.32,2731.99,924.98,247.32,"No"
"H","TX",10,"KATY","DEM",10515,10341,10250,265,"No"
"H","FL",6,"ORMOND BEACH","REP",171619.98,139853.43,4862.16,142738.35,"No"
"H","TX",29,"HOUSTON","DEM",390998.62,387966.79,11736.2,390998.62,"No"
"H","PA",17,"PEN ARGYL","REP",138994.72,138100.72,17752.94,51494.72,"No"
"H","MN",2,"SOUTH SAINT PAUL","REP",260305.55,157924.57,275000,131367.85,"No"
"H","TX",4,"PRINCETON","REP",122374.95,130300.16,323624.06,3374.95,"No"
"H","KS",3,"LOUISBURG","REP",78415.75,44020.6,11100,61915.75,"No"
"H","PA",2,"BALA CYNWYD","DEM",57917.67,69148.85,7139.72,53917.67,"No"
"H","CA",45,"TUSTIN","DEM",46132.47,46128.97,36915,1985,"No"
"H","NC",12,"CHARLOTTE","DEM",104622.49,104908.89,101489.22,77812.37,"No"
"S","FL",0,"ORLANDO","DEM",4658100.83,3965939.77,2421713,4145499.94,"No"
"H","NC",13,"DURHAM","DEM",19829.36,19827.39,22164.03,633.36,"No"
"S","NC",0,"DURHAM","DEM",62899,62394,68085,3865,"No"
"H","NC",3,"NEW BERN","REP",359680.06,357845.39,18082.18,356401,"No"
"H","CO",6,"ENGLEWOOD","DEM",1001000,1001160.65,168500,1000,"No"
"S","IL",0,"HARVEY","DEM",1069521,1060880,614417,19521,"No"
"H","NJ",7,"LONG VALLEY","REP",30739.9,29532.34,205276.39,22739.9,"No"
"H","NC",12,"WINSTON SALEM","DEM",10375.98,10223.96,11785,3185.98,"No"
"H","CA",12,"SAN FRANCISCO","GRE",8958.83,8958.83,4730.36,2700,"No"
"H","NC",11,"ZIRCONIA","DEM",4464.01,4623.76,8246.16,2724.01,"No"
"H","MN",7,"LONG PRAIRIE","REP",24365.54,24361,1315.81,24093.96,"No"
"H","SC",1,"SUMMERVILLE","REP",146778.74,144801.79,19879.33,146778.74,"No"
"H","WA",5,"NINE MILE FALLS","REP",9397.95,9346.82,8647.95,750,"No"
"H","CA",52,"SAN DIEGO","REP",14502.5,16155.56,13915.56,14600,"No"
"H","OK",2,"OOLOGAH","REP",162814.28,158127.68,45500,117314.28,"No"
"H","NC",9,"MONROE","REP",219610,219560.68,117900,101710,"No"
"H","NJ",3,"WARETOWN","DEM",76478.22,74778.19,14000,62478.22,"No"
"S","FL",0,"NORTH PALM BEACH","DEM",247376,265836,70514,152321,"No"
"H","MN",6,"SAUK RAPIDS","REP",29031.12,27796.41,13000,16031.12,"No"
"H","FL",16,"LAKEWOOD RANCH","DEM",14977,14977,10380.46,4537,"No"
"H","OH",1,"CINCINNATI","DEM",23904.25,30413.89,237687.81,23904.25,"No"
"H","NJ",7,"LEBANON","REP",277626.96,191257.16,239691.2,37935.76,"No"
"H","NJ",1,"COLLINGSWOOD","DEM",81517.98,82783.98,5135.57,74917.98,"No"
"H","MN",2,"EAGAN","DFL",1581291.69,1547919.79,920000,410025.89,"No"
"H","GA",11,"SANDY SPRINGS","REP",157940,156799.49,196589.4,1690,"No"
"S","FL",0,"JACKSONVILLE","DEM",35238,30803,2880,31323.05,"No"
"H","OH",14,"CHAGIN FALLS","REP",296829.2,291219.5,2061.33,232647.22,"No"
"H","MO",8,"DESOTO","REP",16425,12164.54,1000,15425,"No"
"H","NE",2,"OMAHA","REP",111770.97,113914.87,10000,101770.97,"No"
"H","IL",15,"LEBANON","REP",498182.24,494036.66,171928.58,341486.34,"No"
"S","AL",0,"HOMEWOOD","REP",940571,940554,187621,863893,"No"
"H","WA",3,"VANCOUVER","DEM",115262.85,113923.79,17500,15262.85,"No"
"H","OR",5,"MILWAUKIE","DEM",45056.88,70712.85,10750,30556.88,"No"
"S","AZ",0,"SCOTTSDALE","REP",886610,888489,772273,112176,"No"
"H","IN",7,"INDIANAPOLIS","REP",4477,4476,1689,2069,"No"
"H","VA",10,"ASHBURN","DEM",550386.26,2018,7000,3025,"No"
"H","PA",10,"LEWISBURG","DEM",48359.14,47309.15,2500,45859.14,"No"
"H","IN",8,"JASPER","REP",58255,56640.12,28000,30255,"No"
"S","CO",0,"LAKEWOOD","REP",170416,163111,7823,19916,"No"
"S","WA",0,"RENTON","REP",11174,10873,178,938,"No"
"H","WI",1,"DELAVAN","REP",1571255.25,1403390.56,1e+05,1465724.97,"No"
"H","CO",1,"DENVER","DEM",13691.68,17715.94,7500,9691.68,"No"
"H","MA",9,"MARSHFIELD","REP",22701.65,21632.59,7000,15701.65,"No"
"H","FL",6,"ORMOND BEACH","DEM",46647.34,46478.85,2600,43585.84,"No"
"H","CA",21,"FOWLER","DEM",71152.83,70585.23,2547.18,71143.07,"No"
"H","TX",17,"EDDY","REP",449943.17,405510.01,231225,6580,"No"
"S","PA",0,"ALLENTOWN","DEM",437529.88,437438.68,23477,423619.88,"No"
"H","FL",27,"MIAMI","DEM",111790,12553.01,1e+05,11790,"No"
"H","OR",4,"ALBANY","REP",5159.1,4905.78,260,4734.25,"No"
"H","CA",30,"WEST HILLS","DEM",138851,136871.82,55000,83851,"No"
"H","CA",45,"MISSION VIEJO","REP",238505.07,193146.66,217918,114867.75,"No"
"H","OH",8,"MIDDLETOWN","REP",202866,158162.01,70000,132783.31,"No"
"H","TN",4,"MURFREEBORO","DEM",49873.49,47821.61,16653.29,33220.2,"No"
"H","OH",7,"MEDINA","REP",2555.89,3534.01,4848.54,2355.89,"No"
"H","IL",10,"HIGHLAND PARK","DEM",1510236.51,1508745.76,250000,1163964.77,"No"
"H","IL",18,"EUREKA","DEM",51827.91,42697.76,1580,51827.91,"No"
"H","NV",4,"LAS VEGAS","DEM",8131.68,7873.21,2469.02,6036.33,"No"
"H","NY",10,"NEW YORK","DEM",429209.88,429089.36,250000,77509.88,"No"
"H","NC",13,"RALEIGH","REP",81910.85,80119.49,27903.39,74114.75,"No"
"H","CA",29,"NORTH HILLS","DEM",43498.27,43498.27,34941.38,8556.89,"No"
"H","TN",4,"MURFREESBORO","REP",1705122.48,1696672.14,876562.1,825169.85,"No"
"H","IL",11,"DARIEN","REP",188763.7,187687.36,171957,16794.5,"No"
"S","PA",0,"WEST CHESTER","IND",52600,52600,31000,21600,"No"
"H","TX",31,"GEORGETOWN","REP",10414.8,10096.2,10678.93,5114.8,"No"
"H","FL",26,"SOUTH MIAMI","DEM",1673273.45,1466849.86,518064.77,1550694.44,"No"
"H","FL",6,"DAYTONA BEACH","DEM",24299.36,23171.53,200,24086.56,"No"
"H","UT",3,"PROVO","REP",542438.63,542438.63,465000,31392.44,"No"
"H","CA",25,"LANCASTER","DEM",10530.18,12153.9,1500,5330.18,"No"
"H","FL",10,"ORLANDO","DEM",202108.61,202108.61,57940.31,136108.61,"No"
"H","NH",1,"GREENLAND","REP",100710.55,100120.26,25000,75710.55,"No"
"H","VA",4,"CHESAPEAKE","DEM",49516.45,43359.48,1360,47864.75,"No"
"S","AZ",0,"LAKE HAVASU","REP",1591465,1533879,115000,1475241,"No"
"H","MO",4,"CLEVELAND","REP",14656,15578,8000,13156,"No"
"H","IN",6,"CONNERSVILLE","DEM",4606.51,5676.19,3100,4184.01,"No"
"H","IL",11,"NAPERVILLE","REP",77295,77256.85,22252,56195,"No"
"H","IL",9,"CHICAGO","IND",90556.66,81297.66,1288.54,90556.66,"No"
"H","WA",5,"SPOKANE VALLEY","OTH",206953,206361.15,6000,134453,"No"
"H","TX",1,"LUFKIN","REP",366249,366297.07,26692,32449,"No"
"S","CT",0,"STAMFORD","REP",746718,743889,218585,591316,"No"
"H","KY",6,"LEXINGTON","DEM",13034,10774.5,10977,2053,"No"
"S","IL",0,"CHICAGO","DEM",1992957,1992950,112414,1863687,"No"
"H","FL",24,"DAVIE","DEM",128066.33,128066.33,20000,108066.33,"No"
"S","WA",0,"OLYMPIA","DEM",11572,9417,21,11441,"No"
"H","WA",8,"ISSAQUAH","DEM",31422.45,31422.45,1000,30922.45,"No"
"S","FL",0,"BRADENTON","REP",8495661,8196656,8012850,482811,"No"
"H","FL",27,"MIAMI","REP",17900.14,16305.19,5000,1900,"No"
"H","WA",8,"ISSAQUAH","DEM",5880.26,32256.5,27584.79,5880.26,"No"
"H","MD",2,"SEVERNA PARK","REP",15150,15150,357.91,7650,"No"
"H","PA",2,"PHILADELPHIA","DEM",389218.1,389218.1,9129.58,326779.23,"No"
"H","WI",7,"WAUSAU","DEM",6788.39,6608.26,300,6488.26,"No"
"H","TX",21,"AUSTIN","DEM",54102.36,54102.36,3091.53,46102.36,"No"
"S","IA",0,"CEDAR RAPIDS","DEM",282043,282038,2000,278349,"No"
"S","GA",0,"FAYETTEVILLE","REP",10201,10201,6550,2742,"No"
"H","ME",2,"BANGOR","DEM",197991.31,190685.02,1600,165991.31,"No"
"H","NC",12,"CHARLOTTE","DEM",42878.19,42590.8,38000,4877.99,"No"
"H","FL",3,"GAINESVILLE","DEM",182204.42,111271.37,98690.87,83513.55,"No"
"H","TX",7,"HOUSTON","REP",87837.48,87749.97,54494.7,28337.48,"No"
"H","WA",10,"UNIVERSITY PLACE","DEM",11495.04,9390.85,1200,11495.04,"No"
"S","CO",0,"DENVER","REP",419943,417759,153440,266503,"No"
"H","PA",12,"SEWICKLEY","DEM",349057.59,333169.05,255000,89057.59,"No"
"S","IL",0,"BURR RIDGE","DEM",24710,46196,45000,500,"No"
"H","IL",6,"BURR RIDGE","DEM",24710,46196,45000,500,"No"
"H","PA",14,"PITTSBURGH","REP",17390,15689.32,10700,17390,"No"
"H","CA",23,"BAKERSFIELD","REP",43818.89,43818.89,19572.49,21392.63,"No"
"H","TN",4,"MURFREESBORO","REP",7650,6947.38,7000,650,"No"
"H","NC",5,"PILOT MOUNTAIN","DEM",5377.75,23397,32739,322.02,"No"
"H","FL",27,"MIAMI","DEM",10877.51,10455.09,1500,9377.51,"No"
"H","GA",2,"COLUMBUS","REP",135250,135250,53540.34,250,"No"
"H","OK",4,"NORMAN","REP",18591,15044.35,2950,15091,"No"
"H","GA",12,"EVANS","REP",55417.26,55423.31,276769.78,28007.87,"No"
"H","IL",7,"CHICAGO","DEM",62346.3,62345.72,1110,62346.3,"No"
"H","NC",2,"CARY","REP",28780.89,28780.89,6710.01,26912.89,"No"
"H","NC",13,"BOONE","DEM",17772.97,15286.79,5990,10290,"No"
"H","GA",11,"MARIETTA","REP",395184.52,289643.92,250000,145184.52,"No"
"H","GA",11,"KENNESAW","REP",72875.02,69446.45,55000,17875.02,"No"
"H","MO",4,"PLEASANT HILL","DEM",9815.47,6689.32,1873,4810.41,"No"
"S","GA",0,"REDAN","REP",15186,14627,5000,10186,"No"
"H","AR",2,"SEARCY","REP",17995.97,17780.08,15000,2995.38,"No"
"H","TX",8,"MIDWAY","REP",13568,15906,13282,10314,"No"
"H","AL",3,"AUBURN","REP",64791.68,67148.66,53062.78,17718.04,"No"
"H","IL",1,"CHICAGO","DEM",42466,39081.37,35000,7466,"No"
"S","AL",0,"DAPHNE","REP",1890,770,1264,1890,"No"
"H","TX",36,"ORANGE","DEM",21586,24509.1,18900,10336,"No"
"H","TX",14,"ORANGE","DEM",21586,24509.1,18900,10336,"No"
"H","NY",12,"NEW YORK","DEM",16110,14500,7500,8610,"No"
"H","IA",1,"CEDAR RAPIDS","DEM",820983.42,820983.42,43349.06,765870.42,"No"
"S","NJ",0,"SOMERVILLE","REP",12014,13110,1000,5559,"No"
"H","TX",14,"VIDOR","DEM",74450,3184.82,59793.43,74450,"No"
"H","FL",10,"ORLANDO","DEM",165168.08,14388.35,4327.08,160841,"No"
"H","MS",1,"BELMONT","UNK",27100.28,15977.04,8617.28,18483,"No"
"S","CO",0,"DENVER","DEM",14928768,12843792,374819,13267629,"Yes"
"S","MO",0,"COLUMBIA","REP",11000604,11175291,315824,9882675,"Yes"
"S","ND",0,"BISMARCK","REP",2863716,1980906,1e+05,2655353,"Yes"
"S","WI",0,"OSHKOSH","REP",16164711,13898303,780774,15776606,"Yes"
"S","KS",0,"MANHATTAN","REP",4350125,3893870,50070,4140355,"Yes"
"S","HI",0,"HONOLULU","DEM",3677300,2449275,1758,3618888,"Yes"
"S","NH",0,"MANCHESTER","REP",13980279,14954757,4000,13010691,"No"
"H","TX",8,"THE WOODLANDS","REP",4482743.89,3686916.84,49287.18,4241348.62,"Yes"
"H","FL",5,"JACKSONVILLE","DEM",552232.3,566175.82,120475.44,449087.48,"No"
"H","GA",1,"POOLER","REP",1144073.27,693797.66,5e+05,1134514.71,"Yes"
"H","MA",5,"MALDEN","DEM",1244626.17,589802.49,250000,1177497.53,"Yes"
"H","NY",9,"BROOKLYN","DEM",588423.89,565158.36,77748.62,586873.81,"Yes"
"H","IL",10,"KENILWORTH","REP",5090564.86,4273651.43,88701.7,4918280.91,"No"
"H","AZ",8,"PEORIA","REP",337934.08,314662.42,91100,337733,"Yes"
"H","AZ",3,"TUCSON","DEM",605765.63,528971.94,12400.07,603899.05,"Yes"
"H","NH",1,"MANCHESTER","REP",1291698.06,1135455.26,47494.73,1190919.25,"No"
"H","CA",17,"SAN JOSE","DEM",2779256.22,2414463.71,33315.43,2776557.48,"No"
"H","KS",1,"FOWLER","REP",939268.44,1339973.71,5375.72,925421.78,"No"
"H","PA",3,"BUTLER","REP",1702865.12,1107796.07,90000,1649824.23,"Yes"
"H","FL",7,"WINTER PARK","REP",1252469.24,1356243.22,56820.83,1249501.52,"No"
"H","VI",0,"FREDERIKSTED","DEM",314721.7,265720.92,24733.1,314721.7,"No"
"H","TX",4,"HEATH","REP",888379.51,839875.48,311950,883765.25,"Yes"
"H","GA",13,"ATLANTA","DEM",1205690.96,862716.41,56570,1193218.16,"Yes"
"H","FL",24,"MIAMI GARDENS","DEM",448018.14,294917.65,15250,448018.14,"Yes"
"H","NC",2,"RALEIGH","REP",1390817.73,1539709.03,21387.5,1370294.69,"No"
"S","LA",0,"BOSSIER CITY","DEM",1734975,1423943,511500,984069,"Yes"
"S","CA",0,"LOS ANGELES","DEM",14451398,12466740,102238,13507231,"Yes"
"P","US",0,"NEW YORK","REP",254957194.92,238962741.35,2086572.41,114492189.34,"Yes"
"S","MD",0,"KENSINGTON","DEM",11518110,9998137,28673,9646422,"Yes"
"P","US",0,"LAKE ARROWHEAD","PPY",23712,17258,19586,4000,"No"
"H","FL",2,"TALLAHASSEE","REP",206903.3,206903.3,116000,90903.3,"No"
"H","FL",2,"PORT ST JOE","LIB",18286.6,27396.44,1100,6496.6,"No"
"P","US",0,"CLEMSON","AMP",8216,8216,4000,4216,"No"
"H","CA",24,"ARROYO GRANDE","REP",893210.3,893200.3,12473.13,828927.32,"No"
"P","US",0,"WASHINGTON","W",84.31,86.02,20.51,26.86,"No"
"H","FL",4,"JACKSONVILLE","REP",167029.33,167033.24,157000,10010,"No"
"P","US",0,"WASHINGTON","REP",12317134.1,12305398.76,255927.73,10276573.37,"No"
"P","US",0,"DETROIT","IND",36288,36288,4719,33241,"No"
"H","TX",19,"LUBBOCK","REP",1507510.35,1210670.35,20000,1480877.72,"Yes"
"H","NY",22,"LITTLE FALLS","IND",2770918.95,2466701.19,2750000,17598.57,"No"
"H","LA",4,"SHREVEPOR","REP",695083.74,583946.97,1e+05,595013.18,"No"
"S","LA",0,"KENTWOOD","IND",7300,6676,2741,7300,"No"
"H","MD",8,"BETHESDA","DEM",37944.67,37078.76,19755.67,8305,"No"
"H","FL",4,"JACKSONVILLE","DEM",46384.24,35074.3,1462.44,34318.45,"No"
"P","US",0,"GERMANTOWN","CON",54636.81,52721.96,4902.75,49734.06,"No"
"P","US",0,"NEW YORK","DEM",513006612.98,450565633.49,111237.9,361329562.21,"No"
"H","MD",8,"EMMITSBURG","REP",63900,44840.07,15915,45842,"No"
"S","LA",0,"COVINGTON","REP",13425,7726,12500,925,"No"
"H","FL",2,"TALLAHASSEE","DEM",125398.01,66239.16,50000,74825,"No"
"P","US",0,"SAN  DIEGO","DEM",7635008.47,7627848.16,7617975.34,17033.13,"No"
"H","VA",5,"CHARLOTTESVILLE","DEM",1156482.23,1072868.5,9901.37,1156018.34,"No"
"H","FL",18,"JUPITER","REP",587525.81,579187.94,1713897.99,56228.32,"No"
"S","LA",0,"MANDEVILLE","REP",140332,89887,14520,118021,"No"
"S","LA",0,"NEW ORLEANS","DEM",35402,19549,26029,9373,"No"
"H","LA",3,"LAFAYETTE","REP",532632.75,427147.36,56000.67,477632.75,"No"
"H","CA",24,"SANTA BARBARA","REP",2139681.62,1822868.88,44139.5,2130889.24,"No"
"S","LA",0,"BATON ROUGE","DEM",1585262,1517882,890000,693633,"No"
"H","PR",0,"SAN JUAN","DEM",230255.08,193786.25,11983.29,230245.08,"No"
"S","LA",0,"MINDEN","REP",4314772,3781237,863735,1779304,"No"
"S","MD",0,"BALTIMORE","GRE",67573,68452,4080,67573,"No"
"H","KY",1,"HOPKINSVILLE","DEM",14574.98,13645.76,5681.59,13658.02,"No"
"P","US",0,"RICHMOND","REP",391436.44,390868.39,291350.5,110570.95,"No"
"H","WY",0,"ROCK SPRINGS","DEM",179924,159025.16,76740,116024,"No"
"H","CA",44,"LOS ANGELES","DEM",1730188.93,1675839.01,72021.61,1728599.76,"No"
"H","PA",16,"LANCASTER","DEM",875443.51,814486.75,60500,820443.51,"No"
"H","LA",4,"SHREVEPORT","REP",813839.6,483903.69,4e+05,413839.6,"No"
"H","LA",4,"SHREVEPORT","REP",150943.29,118198.03,23300.13,117643.16,"No"
"P","US",0,"SALT LAKE CITY","LIB",11268011.11,10340004.16,1538118.73,10763296.11,"No"
"H","LA",4,"SHREVEPORT","DEM",281632,281049.92,225900,55482,"No"
"H","FL",11,"OCALA","DEM",49745.28,50252.33,31658.17,49745.28,"No"
"H","FL",9,"ST CLOUD","REP",31251.39,26957.55,10332.79,16407,"No"
"S","LA",0,"MADISONVILLE","REP",763415,622655,50000,698230,"No"
"P","US",0,"TALLAHASSEE","IND",1035469.04,785858.18,537538.97,1032757.87,"No"
"P","US",0,"JERSEY CITY","UNK",11682,10943,4500,7182,"No"
"H","NY",22,"VESTAL","DEM",1485202.36,1246999.66,540000,940550.45,"No"
"H","FL",19,"CAPE CORAL","DEM",15130,13192.06,12500,2630,"No"
"H","CA",46,"GARDEN GROVE","DEM",274805.81,237157.67,3750,270569.9,"No"
"H","PR",0,"HUMACAO","PPT",2154.17,1626.15,715,2154.17,"No"
"H","MN",2,"EAGAN","IDP",2747.44,2247.28,331.44,2416,"No"
"S","LA",0,"NEW ORLEANS","REP",403998,396815,155050,245266,"No"
"H","FL",18,"NORTH PALM BEACH","DEM",8560607.89,8327167.32,4e+06,2788957.63,"No"
"H","NY",22,"ENDWELL","REP",250690.9,250763.9,3250,245583.29,"No"
"H","LA",3,"LAFAYETTE","REP",637545.98,630210.8,287709.89,384540.98,"No"
"H","LA",3,"LAFAYETTE","REP",152285,109360.33,24860,77425,"No"
"H","DE",0,"WYOMING","REP",209176.5,168914.05,8452.18,200724.32,"No"
"P","US",0,"BURLINGTON","DEM",236804528.52,232031346.88,454269.34,231837226.36,"No"
"H","PA",8,"YARDLEY","DEM",2468129.39,2321465.06,4200,2422209.88,"No"
"H","FL",21,"JUPITER","REP",49321.75,21110.96,169791.07,4375.68,"No"
"H","FL",18,"JUPITER","IND",26543.53,26341.64,8996.37,16907.16,"No"
"H","FL",1,"PENSACOLA","DEM",55666.27,45967.27,9566.13,45880.14,"No"
"P","US",0,"LEXINGTON","GRE",3528594.15,3470291.04,87740,3015906.23,"No"
"H","NV",3,"LAS VEGAS","REP",1741489.87,1482252.76,119414.36,1638875.89,"No"
"H","MD",8,"BETHESDA","GRE",11935.2,8317.96,1000,9612.11,"No"
"H","AZ",5,"MESA","REP",512692.28,512692.28,247356.42,262692,"No"
"H","MS",1,"COLUMBUS","REP",526765.41,510200.03,383534,141231,"No"
"H","MI",1,"TRAVERSE CITY","REP",429674.61,429426.44,43286.36,372360.27,"No"
"H","AZ",1,"PHOENIX","REP",463873.44,459969.64,70000,393873.1,"No"
"H","NY",19,"HAMDEN","REP",36240,36240,51198.23,36190,"No"
"P","US",0,"MIAMI","REP",35489858.93,35432192.02,250000,34365074.58,"No"
"H","VA",2,"VIRGINIA BEACH","REP",87969,87291.88,54001.96,40469,"No"
"P","US",0,"FORT WORTH","DEM",13325,13415,1250,13325,"No"
"H","MI",1,"ESCANABA","REP",520676.06,520343.87,67855.75,467505.4,"No"
"H","FL",18,"PALM BEACH GARDENS","DEM",718689.53,714117.48,123120.17,585689.53,"No"
"S","CA",0,"OCEANSIDE","REP",119759,119761,35085,116915,"No"
"P","US",0,"MORRISTOWN","REP",8745586.76,8714737.15,170505.47,8548966.85,"No"
"S","CA",0,"ATHERTON","REP",51710,51621,20770,30905,"No"
"H","FL",9,"KISSIMMEE","DEM",66109.61,66141.32,44918.16,25734.61,"No"
"H","GA",3,"NEWNAN","REP",528214.04,513733.94,88694.54,527514.04,"No"
"S","CA",0,"WILLOWS","REP",469911,519960,10000,449911,"No"
"H","VA",5,"CHARLOTTESVILLE","REP",97637.92,97326.89,8619.36,97637.92,"No"
"S","IN",0,"INDIANAPOLIS","DEM",72914,72885,11262,72798,"No"
"H","FL",1,"PENSACOLA","REP",482706.93,467007.68,250000,87698.03,"No"
"P","US",0,"DEXTER","IND",6062.93,6062.25,1222.94,875,"No"
"H","CA",46,"SACRAMENTO","DEM",427483.68,427372.64,42902.9,427400.99,"No"
"H","MN",2,"COTTAGE GROVE","REP",64001.88,64841.11,10014.88,63319.6,"No"
"H","NY",13,"NEW YORK","N/A",28220,14082.5,12000,4180,"No"
"H","NV",3,"HENDERSON","REP",443917.08,436795.96,54854.46,443917.08,"No"
"H","GA",3,"STOCKBRIDGE","REP",153750,110505.51,151000,750,"No"
"H","TN",8,"MEMPHIS","REP",3027559.25,3015955.42,2795000,1748,"No"
"H","IL",18,"QUINCY","REP",173899.35,173592.97,1832.23,173899.35,"No"
"H","MI",10,"HARRISON TOWNSHIP","REP",120642.21,119694.1,27568.24,84673.97,"No"
"H","IL",8,"NORTH BARRINGTON","IND",1829.56,1651.9,16387.46,1314,"No"
"H","NY",13,"NEW YORK","DEM",94776.28,87837.33,41012.19,53764.09,"No"
"H","TX",19,"LUBBOCK","REP",108161.18,108161.18,8047.33,57940,"No"
"H","FL",19,"FORT MYERS","REP",392853.79,392853.79,35875.22,353253.79,"No"
"H","AZ",1,"SIERRA VISTA","REP",406358.03,356815.97,5000,406358.03,"No"
"H","NY",19,"MILLBROOK","REP",1960055.53,1959725.92,312598.65,1483679.24,"No"
"H","MN",2,"RED WING","REP",851389.09,833733.95,22500,108539.09,"No"
"P","US",0,"LITTLE ROCK","REP",4335903.6,4328550.97,18954.44,4327403.99,"No"
"H","DE",0,"WILMINGTON","REP",24348,24344.82,12888,24255,"No"
"H","AZ",5,"GILBERT","REP",1979269.68,1950060.29,1922578.88,73415.94,"No"
"H","NY",3,"GREAT NECK","DEM",440328.45,440164.98,83297.14,440328.45,"No"
"H","FL",4,"JACKSONVILLE","REP",33529,32239.37,3100,27833,"No"
"H","TN",8,"GERMANTOWN","REP",848627.16,847178.61,2700,835827.16,"No"
"H","AZ",1,"EAGAR","REP",1120171.2,1124669.16,482072.14,367911.09,"No"
"H","LA",3,"LAFAYETTE","REP",582415.16,570449.42,60000,130465.16,"No"
"H","CA",24,"SAN LUIS OBISPO","REP",220343.98,75774.62,210500,9101,"No"
"H","WY",0,"POWELL","REP",16115,16269.61,2300,16115,"No"
"H","TN",8,"ARLINGTON","REP",53198.63,52710.45,47784.17,53156.68,"No"
"H","FL",4,"PONTE VEDRA","REP",87100,89798.78,30000,57100,"No"
"H","NV",3,"LAS VEGAS","REP",255237.7,255205.38,2207.51,234600.62,"No"
"H","MD",8,"CHEVY CHASE","DEM",2900350.58,2864909.51,250000,2254804.97,"No"
"H","TX",19,"LUBBOCK","REP",172450.18,177276.81,179987.53,53164,"No"
"P","US",0,"LEXINGTON","LIB",52247.23,35816.73,32000,20247.23,"No"
"H","WI",8,"FORESTVILLE","REP",11708.17,12975.67,1464,10244.17,"No"
"P","US",0,"SAN DIEGO","GRE",4608,4574,18583,3756,"No"
"P","US",0,"BRANDON","REP",3942.93,5143.77,2709.93,133,"No"
"H","FL",1,"MIRAMAR","REP",7875.97,8576.29,16730.91,380,"No"
"H","TN",8,"BARTLETT","REP",7875.97,8576.29,16730.91,380,"No"
"H","FL",2,"FT WHITE","REP",20845,20240.8,9027.99,15845,"No"
"H","FL",18,"STUART","REP",1124377.46,1124011.67,7552.45,1115993.25,"No"
"H","FL",18,"JUPITER","REP",231827,231207.88,6000,225827,"No"
