"Office","State","District","City","Party","Spent","Received","Debt","Contribution","Win"
"H","NJ",3,"TOMS RIVER","REP",1803687.96,1606286.53,728921.31,1579059.23,"Yes"
"H","WA",1,"BOTHELL","DEM",1928448.37,1431643.64,498052.04,1870977.4,"Yes"
"H","TN",3,"CHATTANOOGA","REP",1596379.7,1051967.76,15137.5,1593694.14,"Yes"
"H","SC",5,"INDIAN LAND","REP",1175146.83,866579.69,88600,1173573.41,"Yes"
"H","CT",5,"CHESHIRE","DEM",1877000.94,900079.29,149250,1876155.35,"Yes"
"H","MS",4,"BILOXI","REP",737293.1,502593.19,2500,736576.28,"Yes"
"H","IN",9,"JEFFERSONVILLE","REP",3106170.75,3024056.06,1272120.01,332670.75,"Yes"
"H","CA",5,"NAPA","DEM",1865866.37,1698771,16130.07,1846790.05,"Yes"
"H","VA",2,"VIRGINIA BEACH","REP",704733.27,482422.91,34085.98,666601.27,"Yes"
"H","CA",19,"SAN JOSE","DEM",1335320.36,944066.05,6075.34,1319088.33,"Yes"
"H","WA",5,"SPOKANE","REP",2997876,2995771,15741,2482182,"Yes"
"H","IL",12,"MURPHYSBORO","REP",2248010.18,2113634.92,29500,2217746.65,"Yes"
"H","NJ",2,"VENTNOR","REP",1469989.03,1156484.64,24114.12,1455618.51,"Yes"
"H","PA",16,"LANCASTER","REP",1532343.61,1437391.72,551322.95,881536.34,"Yes"
"H","MD",6,"POTOMAC","DEM",1675981.05,1451293.34,983250,1602913.06,"Yes"
"H","NJ",12,"WASHINGTON","DEM",1042804.88,685372.5,7550,1042694.38,"Yes"
"H","WV",1,"WHEELING","REP",1050834.04,907206.26,415000,1050834.04,"Yes"
"H","TX",14,"FRIENDSWOOD","REP",583386.09,492292.85,144000,583125.24,"Yes"
"H","CA",30,"SHERMAN OAKS","DEM",1441053.78,470582.92,9874.34,1427285.46,"Yes"
"H","WA",10,"OLYMPIA","DEM",1474492.62,904382.84,325000,1471686.23,"Yes"
"H","AZ",6,"FOUNTAIN HILLS","REP",749649.98,722431.87,147918.62,499491.84,"Yes"
"H","NY",7,"BROOKLYN","DEM",720083.8,898023.83,7736.52,720083.8,"Yes"
"H","AZ",5,"GILBERT","REP",877621.19,807788.79,318798.82,603887.63,"Yes"
"H","IL",11,"NAPERVILLE","DEM",2768597.89,1363367.14,1131454.72,2768191.19,"Yes"
